Age,Sex,N
0,Male,414299.2
1,Male,402692.6
2,Male,435854.1
3,Male,415936.6
4,Male,410710
5,Male,383737
6,Male,374949.2
7,Male,347898.5
8,Male,340787.6
9,Male,315893
10,Male,359177.1
11,Male,278772.5
12,Male,334468.2
13,Male,281170.5
14,Male,316913.3
15,Male,282444.2
16,Male,302357.2
17,Male,270232.3
18,Male,294419.8
19,Male,257457.6
20,Male,263066.5
21,Male,271113.3
22,Male,275932.2
23,Male,261450.6
24,Male,254795.1
25,Male,301662
26,Male,244181.3
27,Male,217488.7
28,Male,257065.8
29,Male,174974.5
30,Male,362265.7
31,Male,140467
32,Male,189617.3
33,Male,170754.9
34,Male,161818
35,Male,255794.7
36,Male,164626.8
37,Male,143939.1
38,Male,161500.4
39,Male,122402.2
40,Male,272489.9
41,Male,94261
42,Male,119113.7
43,Male,100078.5
44,Male,97328.9
45,Male,170475.4
46,Male,93089.2
47,Male,81888.7
48,Male,110844.8
49,Male,82049.4
50,Male,171314.5
51,Male,60790.3
52,Male,76320.8
53,Male,69446.2
54,Male,67975.4
55,Male,84771.7
56,Male,59188.6
57,Male,47921.3
58,Male,48688.6
59,Male,46711.9
60,Male,107831.7
61,Male,31850.2
62,Male,40523.4
63,Male,40886.2
64,Male,34151.9
65,Male,42145.4
66,Male,28223.5
67,Male,28195.8
68,Male,28132.9
69,Male,20207.6
70,Male,34506.9
71,Male,14937.6
72,Male,18843.5
73,Male,13684.7
74,Male,14549.1
75,Male,17276.1
76,Male,12504.6
77,Male,10213
78,Male,9566.3
79,Male,5744.8
80,Male,10282.8
81,Male,4168.3
82,Male,5231.4
83,Male,5038.2
84,Male,3483.7
85,Male,4218.6
86,Male,1991.1
87,Male,2148.8
88,Male,1198.6
89,Male,593.7
90,Male,1582.9
91,Male,600.4
92,Male,809.8
93,Male,678.5
94,Male,613
95,Male,282.8
96,Male,289.6
97,Male,98.2
98,Male,480.3
99,Male,199.9
100,Male,211.9
0,Female,400234.9
1,Female,399470.1
2,Female,430702.9
3,Female,418436.6
4,Female,400809.3
5,Female,371401.7
6,Female,372422.1
7,Female,343579.1
8,Female,347467.3
9,Female,301321.9
10,Female,332764.8
11,Female,276732.8
12,Female,315346.2
13,Female,267927.4
14,Female,301809.2
15,Female,276275.5
16,Female,309699.8
17,Female,288787.6
18,Female,331242.1
19,Female,251627.2
20,Female,312508.5
21,Female,243387.5
22,Female,282421.4
23,Female,245308.9
24,Female,256176.4
25,Female,277690.3
26,Female,236874
27,Female,200497.5
28,Female,229285
29,Female,149177.4
30,Female,325746.1
31,Female,118802.4
32,Female,168329.2
33,Female,155066.6
34,Female,146204.6
35,Female,208032.4
36,Female,152270.8
37,Female,116494.4
38,Female,136086.7
39,Female,104200.7
40,Female,229184.5
41,Female,75376
42,Female,111985.4
43,Female,90945.9
44,Female,92170.2
45,Female,137775.9
46,Female,78034.5
47,Female,76035.4
48,Female,91025.2
49,Female,70106.9
50,Female,151866.8
51,Female,50694.5
52,Female,70078.2
53,Female,61331.3
54,Female,61924.7
55,Female,73203.3
56,Female,57821
57,Female,45537.3
58,Female,47640.2
59,Female,36461
60,Female,101181.9
61,Female,29637.1
62,Female,39308.5
63,Female,37708.3
64,Female,34454.3
65,Female,47130.7
66,Female,26834.6
67,Female,24349.5
68,Female,23620.4
69,Female,17283.4
70,Female,40755.1
71,Female,13786
72,Female,17897.7
73,Female,14470.2
74,Female,13156.2
75,Female,17717.2
76,Female,12158.1
77,Female,9568.9
78,Female,9829.6
79,Female,7143.3
80,Female,11159.7
81,Female,4460.7
82,Female,3425.8
83,Female,5175.6
84,Female,3919.6
85,Female,4976.1
86,Female,2971.6
87,Female,2194.3
88,Female,1706.2
89,Female,940.6
90,Female,2038.4
91,Female,1245.6
92,Female,631.7
93,Female,292.9
94,Female,303
95,Female,412
96,Female,286.2
97,Female,299.2
98,Female,488.9
99,Female,80.1
100,Female,59.9